HERSTELLER	TYP	SCHALTUNGSKONZEPT	VERWENDUNGSART	MAX. GEN.LEIST. WSTC (W)	AC-NENNLEIST. PAC (W)	EURO-ETA (%)
Sputnik Engineering AG	SolarMax 300TS-SV Single MPPT	trafolos (mehrstufig)	Netzeinspeisung	400000	330000	97.20	
Sputnik Engineering AG	SolarMax 300TS	NF-Trafo	Netzeinspeisung	400000	300000	95.70	
Sputnik Engineering AG	SolarMax 100TS	NF-Trafo	Netzeinspeisung	130000	100000	95.50	
Sputnik Engineering AG	SolarMax 80TS	NF-Trafo	Netzeinspeisung	105000	80000	95.50	
Sputnik Engineering AG	SolarMax 50TS	NF-Trafo	Netzeinspeisung	66000	50000	95.50	
Sputnik Engineering AG	SolarMax 8MT2	trafolos (zweistufig)	Netzeinspeisung	9600	8000	97.50	
Sputnik Engineering AG	SolarMax 330TS-SV Multi MPPT	trafolos (mehrstufig)	Netzeinspeisung	400000	330000	97.00	
Sputnik Engineering AG	SolarMax 2 x 330TS-SV Single MPPT	trafolos (mehrstufig)	Netzeinspeisung	800000	660000	97.20	
Sputnik Engineering AG	SolarMax 2 x 330TS-SV Multi MPPT	trafolos (mehrstufig)	Netzeinspeisung	800000	660000	97.20	
Sputnik Engineering AG	SolarMax 3 x 330TS_SV Single MPPT	trafolos (mehrstufig)	Netzeinspeisung	1200000	990000	97.20	
Sputnik Engineering AG	SolarMax 3 x 330TS_SV Multi MPPT	trafolos (mehrstufig)	Netzeinspeisung	1200000	990000	97.20	
Sputnik Engineering AG	SolarMax 4 x 330TS-SV Single MPPT	trafolos (mehrstufig)	Netzeinspeisung	1600000	1320000	97.20	
Sputnik Engineering AG	SolarMax 4 x 330TS-SV Multi MPPT	trafolos (mehrstufig)	Netzeinspeisung	1600000	1320000	97.20	
Sputnik Engineering AG	SolarMax 360TS-SV	trafolos (mehrstufig)	Netzeinspeisung	432000	360000	97.40	
Sputnik Engineering AG	SolarMax 360TS-SV Multi MPPT	trafolos (mehrstufig)	Netzeinspeisung	432000	360000	97.40	
Sputnik Engineering AG	SolarMax 2 x 360TS-SV Single MPPT	trafolos (mehrstufig)	Netzeinspeisung	864000	720000	97.40	
Sputnik Engineering AG	SolarMax 2 x 360TS-SV Multi MPPT	trafolos (mehrstufig)	Netzeinspeisung	864000	720000	97.40	
Sputnik Engineering AG	SolarMax 3 x 360TS-SV Single MPPT	trafolos (mehrstufig)	Netzeinspeisung	1296000	1080000	97.40	
Sputnik Engineering AG	SolarMax 3 x 360TS-SV Multi MPPT	trafolos (mehrstufig)	Netzeinspeisung	1296000	1080000	97.40	
Sputnik Engineering AG	SolarMax 4 x 360TS-SV Single MPPT	trafolos (mehrstufig)	Netzeinspeisung	1728000	1440000	97.40	
Sputnik Engineering AG	SolarMax 4 x 360TS-SV Multi MPPT	trafolos (mehrstufig)	Netzeinspeisung	1728000	1440000	97.40	
Sputnik Engineering AG	SolarMax 2000P	trafolos (zweistufig)	Netzeinspeisung	32000	2000	97.00	
Sputnik Engineering AG	SolarMax 3000P	trafolos (zweistufig)	Netzeinspeisung	4800	3000	97.00	
Sputnik Engineering AG	SolarMax 4000P dual tracker mode	trafolos (zweistufig)	Netzeinspeisung	6400	4000	97.50	
Sputnik Engineering AG	SolarMax 4600P dual tracker mode	trafolos (zweistufig)	Netzeinspeisung	7360	4600	97.50	
Sputnik Engineering AG	SolarMax 5000P dual tracker mode	trafolos (zweistufig)	Netzeinspeisung	8000	5000	97.50	
Sputnik Engineering AG	SolarMax 4000P single tracker mode	trafolos (zweistufig)	Netzeinspeisung	6400	4000	97.50	
