MODUL-HERSTELLER	MODUL-TYP	NENNLEISTUNG [W]	MODULWIRKUNGSGRAD [%]	SPANNUNG IM MPP [V]	STROM IM MPP [A]	VERSION
Conergy	P 240PA	240.00	14.53	30.20	7.95	4/2011
Conergy	PowerPlus 175MC	175.00	13.29	22.85	7.84	6/2011
Conergy	PowerPlus 180MC	180.00	13.67	23.18	7.93	6/2011
Conergy	PowerPlus 185MC	185.00	14.05	23.42	8.01	6/2011
Conergy	PowerPlus 190MC	190.00	14.43	23.83	8.07	6/2011
Conergy	PowerPlus 215M	215.00	13.21	28.55	7.63	6/2011
Conergy	PowerPlus 220M	220.00	13.51	28.82	7.74	6/2011
Conergy	PowerPlus 225M	225.00	13.82	29.05	7.85	6/2011
Conergy	PowerPlus 230M	230.00	14.13	29.30	7.95	6/2011
Conergy	PowerPlus 235M	235.00	14.44	29.49	8.06	6/2011
Conergy	PowerPlus 240M	240.00	14.74	29.70	8.15	6/2011
Conergy	PowerPlus 215P	215.00	13.21	28.55	7.63	6/2011
Conergy	PowerPlus 220P	220.00	13.51	28.82	7.74	6/2011
Conergy	PowerPlus 225P	225.00	13.82	29.05	7.85	6/2011
Conergy	PowerPlus 230P	230.00	14.13	29.30	7.95	6/2011
Conergy	PowerPlus 235P	235.00	14.44	29.49	8.06	6/2011
Conergy	PowerPlus 240P	240.00	14.74	29.70	8.15	6/2011
Conergy	PowerPlus 220P	220.00	13.51	28.82	7.74	12/2011
Conergy	PowerPlus 225P	225.00	13.82	29.05	7.85	12/2011
Conergy	PowerPlus 230P	230.00	14.13	29.30	7.95	12/2011
Conergy	PowerPlus 235P	235.00	14.44	29.49	8.06	12/2011
Conergy	PowerPlus 240P	240.00	14.74	29.70	8.15	12/2011
Conergy	PM 225P	225.00	13.49	28.91	7.91	12/2011
Conergy	PM 230P	230.00	13.79	29.23	7.94	12/2011
Conergy	PM 235P	235.00	14.09	29.44	8.02	12/2011
Conergy	PM 240P	240.00	14.39	29.65	8.10	12/2011
Conergy	PM 245P	245.00	14.69	29.87	8.18	12/2011
Conergy	PH 220P	220.00	13.40	28.02	7.86	7/2011
Conergy	PH 225P	225.00	13.70	28.40	7.92	7/2011
Conergy	PH 230P	230.00	14.01	28.78	7.99	7/2011
Conergy	PH 235P	235.00	14.31	29.16	8.06	7/2011
Conergy	PH 240P	240.00	14.62	29.54	8.13	7/2011
Conergy	PH 175M	175.00	13.71	35.65	4.92	10/2011
Conergy	PH 180M	180.00	14.10	36.02	5.00	10/2011
Conergy	PH 185M	185.00	14.49	36.38	5.09	10/2011
Conergy	PH 190M	190.00	14.88	36.74	5.17	10/2011
Conergy	EcoPro 215P	215.00	13.21	28.49	7.55	12/2011
Conergy	EcoPro 220P	220.00	13.51	28.73	7.66	12/2011
Conergy	EcoPro 225P	225.00	13.82	28.92	7.78	12/2011
Conergy	EcoPro 230P	230.00	14.13	29.16	7.89	12/2011
Conergy	EcoPro 235P	235.00	14.44	29.33	8.01	12/2011
Conergy	EcoPro 240P	240.00	14.74	29.56	8.12	12/2011
Conergy	EcoPro 245P	245.00	15.05	29.71	8.25	12/2011
Conergy	PowerPlus 215M Noir	215.00	13.21	28.68	7.55	10/2011
Conergy	PowerPlus 220M Noir	220.00	13.51	28.94	7.68	10/2011
Conergy	PowerPlus 225M Noir	225.00	13.82	29.34	7.75	10/2011
Conergy	PowerPlus 230M Noir	230.00	14.13	29.69	7.84	10/2011
Conergy	PowerPlus 235M Noir	235.00	14.44	30.01	7.93	10/2011
Conergy	PowerPlus 190MC	190.00	14.43	24.36	7.90	5/2012
Conergy	PowerPlus 195MC	195.00	14.81	24.54	8.08	5/2012
Conergy	PowerPlus 200MC	200.00	15.19	24.67	8.21	5/2012
Conergy	PowerPlus 205MC	205.00	15.57	24.81	8.36	5/2012
Conergy	PowerPlus 210MC	210.00	15.95	24.96	8.51	5/2012
Conergy	PowerPlus 245M	245.00	15.05	30.76	8.09	3/2012
Conergy	PowerPlus 250M	250.00	15.36	31.06	8.14	3/2012
Conergy	PowerPlus 255M	255.00	15.66	31.43	8.20	3/2012
Conergy	PowerPlus 260M	260.00	15.97	31.79	8.26	3/2012
Conergy	PowerPlus 240M Noir	240.00	14.74	30.89	7.90	5/2012
Conergy	PowerPlus 245M Noir	245.00	15.05	31.19	7.97	5/2012
Conergy	PowerPlus 250M Noir	250.00	15.36	31.45	8.04	5/2012
Conergy	PowerPlus 255M Noir	255.00	15.66	31.71	8.11	5/2012
Conergy	PowerPlus 230P	230.00	14.13	29.30	7.95	2/2012
Conergy	PowerPlus 235P	235.00	14.44	29.49	8.06	2/2012
Conergy	PowerPlus 240P	240.00	14.74	29.70	8.15	2/2012
Conergy	PowerPlus 245P	245.00	15.05	29.81	8.29	2/2012
Conergy	PowerPlus 250P	250.00	15.36	30.01	8.40	2/2012
Conergy	PM 225P	225.00	13.49	28.91	7.91	1/2012
Conergy	PM 230P	230.00	13.79	29.23	7.94	1/2012
Conergy	PM 235P	235.00	14.09	29.44	8.02	1/2012
Conergy	PM 240P	240.00	14.39	29.65	8.10	1/2012
Conergy	PM 245P	245.00	14.69	29.87	8.18	1/2012
Conergy	PH 225P	225.00	13.70	28.40	7.92	5/2012
Conergy	PH 230P	230.00	14.01	28.78	7.99	5/2012
Conergy	PH 235P	235.00	14.31	29.16	8.06	5/2012
Conergy	PH 240P	240.00	14.62	29.54	8.13	5/2012
Conergy	PH 245P	245.00	14.92	29.92	8.20	5/2012
Conergy	PH 180M	180.00	14.10	36.02	5.00	5/2012
Conergy	PH 185M	185.00	14.49	36.38	5.09	5/2012
Conergy	PH 190M	190.00	14.88	36.74	5.17	5/2012
Conergy	PH 195M	195.00	15.27	37.10	5.25	5/2012
Conergy	EcoPro 220P	220.00	13.51	29.49	7.63	5/2012
Conergy	EcoPro 225P	225.00	13.82	29.65	7.73	5/2012
Conergy	EcoPro 230P	230.00	14.13	29.82	7.84	5/2012
Conergy	EcoPro 235P	235.00	14.44	29.98	7.94	5/2012
Conergy	EcoPro 240P	240.00	14.74	30.15	8.05	5/2012
Conergy	EcoPro 245P	245.00	15.05	30.31	8.15	5/2012
Conergy	Conergy C 123 P	123.00	12.39	17.20	7.16	4/2003
Conergy	Conergy 105 L Profiline	105.00	12.43	17.40	6.04	5/2003
Conergy	Conergy 106 L Profiline	106.00	12.54	17.40	6.10	2/2004
Conergy	Conergy CP 150P	150.00	11.45	21.20	7.10	10/2004
Conergy	Conergy 160 Profiline	160.00	12.60	17.40	9.20	6/2003
Conergy	Conergy C 160P	160.00	12.21	22.80	7.02	4/2003
Conergy	Conergy C 160P (1000V)	160.00	12.21	22.80	7.02	4/2003
Conergy	Conergy E 180P	180.00	12.96	24.50	7.35	4/2005
Conergy	P 235PA	235.00	14.23	30.01	7.81	7/2010
Conergy	PM 220P	220.00	13.19	30.20	7.28	5/2010
Conergy	PM 225P	225.00	13.49	30.50	7.37	5/2010
Conergy	PM 230P	230.00	13.79	30.84	7.48	5/2010
Conergy	PM 235P	235.00	14.09	31.14	7.55	5/2010
Conergy	PowerPlus 215M	215.00	13.21	28.49	7.63	5/2010
Conergy	PowerPlus 220M	220.00	13.51	28.75	7.76	5/2010
Conergy	PowerPlus 225M	225.00	13.82	29.12	7.82	5/2010
Conergy	PowerPlus 230M	230.00	14.13	29.29	7.94	5/2010
Conergy	PowerPlus 235M	235.00	14.44	29.67	8.00	5/2010
Conergy	PA 230P	230.00	13.92	30.00	7.67	8/2012
Conergy	PA 235P	235.00	14.23	30.10	7.81	8/2012
Conergy	PA 240P	240.00	14.53	30.20	7.95	8/2012
Conergy	PA 245P	245.00	14.83	30.30	8.08	8/2012
Conergy	PA 250P	250.00	15.13	30.40	8.22	8/2012
Conergy	PowerPlus 190MC	190.00	14.43	24.36	7.90	8/2012
Conergy	PowerPlus 195MC	195.00	14.81	24.54	8.08	8/2012
Conergy	PowerPlus 200MC	200.00	15.19	24.67	8.21	8/2012
Conergy	PowerPlus 205MC	205.00	15.57	24.81	8.36	8/2012
Conergy	PowerPlus 210MC	210.00	15.95	24.96	8.51	8/2012
Conergy	PowerPlus 245M	245.00	15.05	30.76	8.09	8/2012
Conergy	PowerPlus 250M	250.00	15.36	31.06	8.14	8/2012
Conergy	PowerPlus 255M	255.00	15.66	31.43	8.20	8/2012
Conergy	PowerPlus 260M	260.00	15.97	31.79	8.26	8/2012
Conergy	PowerPlus 240M Noir	240.00	14.74	30.60	7.96	8/2012
Conergy	PowerPlus 245M Noir	245.00	15.05	30.90	8.01	8/2012
Conergy	PowerPlus 250M Noir	250.00	15.36	31.26	8.08	8/2012
Conergy	PowerPlus 255M Noir	255.00	15.66	31.63	8.14	8/2012
Conergy	PowerPlus 230P	230.00	14.13	29.53	7.89	8/2012
Conergy	PowerPlus 235P	235.00	14.44	29.76	7.98	8/2012
Conergy	PowerPlus 240P	240.00	14.74	29.99	8.08	8/2012
Conergy	PowerPlus 245P	245.00	15.05	30.22	8.18	8/2012
Conergy	PowerPlus 250P	250.00	15.36	30.46	8.28	8/2012
Conergy	PH 230P	230.00	14.01	28.78	7.99	8/2012
Conergy	PH 235P	235.00	14.31	29.16	8.06	8/2012
Conergy	PH 240P	240.00	14.62	29.54	8.13	8/2012
Conergy	PH 245P	245.00	14.92	29.92	8.20	8/2012
Conergy	PH 250P	250.00	15.22	30.30	8.27	8/2012
Conergy	PA 230P	230.00	13.92	30.00	7.67	11/2012
Conergy	PA 235P	235.00	14.23	30.10	7.81	11/2012
Conergy	PA 240P	240.00	14.53	30.20	7.95	11/2012
Conergy	PA 245P	245.00	14.83	30.30	8.08	11/2012
Conergy	PA 250P	250.00	15.13	30.40	8.22	11/2012
Conergy	EcoPro 230P	230.00	14.13	29.51	7.88	8/2012
Conergy	EcoPro 235P	235.00	14.44	29.74	7.99	8/2012
Conergy	EcoPro 240P	240.00	14.74	29.97	8.07	8/2012
Conergy	EcoPro 245P	245.00	15.05	30.21	8.17	8/2012
Conergy	EcoPro 250P	250.00	15.36	30.45	8.27	8/2012
Conergy	PowerPlus 180PCL	180.00	13.40	23.42	7.82	11/2012
Conergy	PowerPlus 185PCL	185.00	13.77	23.70	7.93	11/2012
Conergy	PowerPlus 190PCL	190.00	14.14	23.98	8.05	11/2012
Conergy	PowerPlus 195PCL	195.00	14.51	24.27	8.16	11/2012
Conergy	PowerPlus 200PCL	200.00	14.89	24.55	8.28	11/2012
Conergy	PowerPlus 230PL	230.00	13.92	29.68	7.85	11/2012
Conergy	PowerPlus 235PL	235.00	14.23	29.91	7.94	11/2012
Conergy	PowerPlus 240PL	240.00	14.53	30.14	8.04	11/2012
Conergy	PowerPlus 245PL	245.00	14.83	30.37	8.14	11/2012
Conergy	PowerPlus 250PL	250.00	15.13	30.61	8.24	11/2012
Conergy	PX 285P	285.00	14.69	36.00	7.92	11/2012
Conergy	PX 290P	290.00	14.95	36.40	7.97	11/2012
Conergy	PX 295P	295.00	15.20	36.80	8.02	11/2012
Conergy	PX 300P	300.00	15.46	37.20	8.07	11/2012
Conergy	PX 305P	305.00	15.72	37.40	8.16	11/2012
Conergy	PH 230P	230.00	14.01	28.78	7.99	11/2012
Conergy	PH 235P	235.00	14.31	29.16	8.06	11/2012
Conergy	PH 240P	240.00	14.62	29.54	8.13	11/2012
Conergy	PH 245P	245.00	14.92	29.92	8.20	11/2012
Conergy	PH 250P	250.00	15.22	30.30	8.27	11/2012
Conergy	PH 255P	255.00	15.53	30.68	8.33	11/2012
Conergy	PA 230P	230.00	13.92	30.00	7.67	12/2012
Conergy	PA 235P	235.00	14.23	30.10	7.81	12/2012
Conergy	PA 240P	240.00	14.53	30.20	7.95	12/2012
Conergy	PA 245P	245.00	14.83	30.30	8.08	12/2012
Conergy	PA 250P	250.00	15.13	30.40	8.22	12/2012
Conergy	PE 240P	240.00	14.68	29.38	8.17	12/2012
Conergy	PE 245P	245.00	14.98	29.63	8.27	12/2012
Conergy	PE 250P	250.00	15.29	29.98	8.34	12/2012
Conergy	PE 255P	255.00	15.59	30.36	8.40	12/2012
Conergy	PE 260P	260.00	15.90	30.77	8.45	12/2012
Conergy	PE 290P	290.00	14.96	36.39	7.97	12/2012
Conergy	PE 295P	295.00	15.22	36.60	8.06	12/2012
Conergy	PE 300P	300.00	15.48	36.82	8.15	12/2012
Conergy	PE 305P	305.00	15.73	36.97	8.25	12/2012
Conergy	PE 310P	310.00	15.99	37.04	8.37	12/2012
Conergy	PowerPlus 190PC	190.00	14.43	23.87	8.09	12/2012
Conergy	PowerPlus 195PC	195.00	14.81	24.14	8.20	12/2012
Conergy	PowerPlus 200PC	200.00	15.19	24.42	8.32	12/2012
Conergy	PowerPlus 205PC	205.00	15.57	24.70	8.44	12/2012
Conergy	PowerPlus 210PC	210.00	15.95	24.98	8.55	12/2012
Conergy	PX 230P	230.00	14.05	29.60	7.78	2/2013
Conergy	PX 235P	235.00	14.36	29.80	7.89	2/2013
Conergy	PX 240P	240.00	14.66	30.00	8.01	2/2013
Conergy	PX 245P	245.00	14.97	30.20	8.12	2/2013
Conergy	PX 250P	250.00	15.27	30.40	8.23	2/2013
Conergy	PX 285P	285.00	14.69	36.00	7.92	1/2013
Conergy	PX 290P	290.00	14.95	36.40	7.97	1/2013
Conergy	PX 295P	295.00	15.20	36.80	8.02	1/2013
Conergy	PX 300P	300.00	15.46	37.20	8.07	1/2013
Conergy	PX 305P	305.00	15.72	37.40	8.16	1/2013
Conergy	PH 240P	240.00	14.62	29.54	8.13	4/2013
Conergy	PH 245P	245.00	14.92	29.92	8.20	4/2013
Conergy	PH 250P	250.00	15.22	30.30	8.27	4/2013
Conergy	PH 255P	255.00	15.53	30.68	8.33	4/2013
Conergy	PH 260P	260.00	15.83	31.05	8.39	4/2013
Conergy	PA 230P	230.00	13.92	30.00	7.67	4/2013
Conergy	PA 235P	235.00	14.23	30.10	7.81	4/2013
Conergy	PA 240P	240.00	14.53	30.20	7.95	4/2013
Conergy	PA 245P	245.00	14.83	30.30	8.08	4/2013
Conergy	PA 250P	250.00	15.13	30.40	8.22	4/2013
Conergy	PE 240P	240.00	14.68	29.38	8.17	4/2013
Conergy	PE 245P	245.00	14.98	29.63	8.27	4/2013
Conergy	PE 250P	250.00	15.29	29.98	8.34	4/2013
Conergy	PE 255P	255.00	15.59	30.36	8.40	4/2013
Conergy	PE 260P	260.00	15.90	30.77	8.45	4/2013
Conergy	PE 290P	290.00	14.96	36.39	7.97	4/2013
Conergy	PE 295P	295.00	15.22	36.60	8.06	4/2013
Conergy	PE 300P	300.00	15.48	36.82	8.15	4/2013
Conergy	PE 305P	305.00	15.73	36.97	8.25	4/2013
Conergy	PE 310P	310.00	15.99	37.04	8.37	4/2013
Conergy	PX 230P	230.00	14.05	29.60	7.78	4/2013
Conergy	PX 235P	235.00	14.36	29.80	7.89	4/2013
Conergy	PX 240P	240.00	14.66	30.00	8.01	4/2013
Conergy	PX 245P	245.00	14.97	30.20	8.12	4/2013
Conergy	PX 250P	250.00	15.27	30.40	8.23	4/2013
Conergy	PX 285P	285.00	14.69	36.00	7.92	4/2013
Conergy	PX 290P	290.00	14.95	36.40	7.97	4/2013
Conergy	PX 295P	295.00	15.20	36.80	8.02	4/2013
Conergy	PX 300P	300.00	15.46	37.20	8.07	4/2013
Conergy	PX 305P	305.00	15.72	37.40	8.16	4/2013
Conergy	EcoPro 235P	235.00	14.44	29.76	7.98	5/2013
Conergy	EcoPro 240P	240.00	14.74	29.99	8.08	5/2013
Conergy	EcoPro 245P	245.00	15.05	30.22	8.18	5/2013
Conergy	EcoPro 250P	250.00	15.36	30.46	8.28	5/2013
Conergy	EcoPro 255P	255.00	15.66	30.70	8.38	5/2013
Conergy	PowerPlus 235P	235.00	14.44	29.76	7.98	5/2013
Conergy	PowerPlus 240P	240.00	14.74	29.99	8.08	5/2013
Conergy	PowerPlus 245P	245.00	15.05	30.22	8.18	5/2013
Conergy	PowerPlus 250P	250.00	15.36	30.46	8.28	5/2013
Conergy	PowerPlus 255P	255.00	15.66	30.70	8.38	5/2013
Conergy	PowerPlus 245M	245.00	15.05	30.76	8.09	5/2013
Conergy	PowerPlus 250M	250.00	15.36	31.06	8.14	5/2013
Conergy	PowerPlus 255M	255.00	15.66	31.43	8.20	5/2013
Conergy	PowerPlus 260M	260.00	15.97	31.79	8.26	5/2013
Conergy	PowerPlus 265M	265.00	16.28	32.16	8.32	5/2013
Conergy	PowerPlus 245M Noir	245.00	15.05	30.90	8.01	5/2013
Conergy	PowerPlus 250M Noir	250.00	15.36	31.26	8.08	5/2013
Conergy	PowerPlus 255M Noir	255.00	15.66	31.63	8.14	5/2013
Conergy	PowerPlus 260M Noir	260.00	15.97	32.00	8.20	5/2013
Conergy	PowerPlus 265M Noir	265.00	16.28	32.37	8.26	5/2013
Conergy	PowerPlus 190PC	190.00	14.43	23.87	8.09	5/2013
Conergy	PowerPlus 195PC	195.00	14.81	24.14	8.20	5/2013
Conergy	PowerPlus 200PC	200.00	15.19	24.42	8.32	5/2013
Conergy	PowerPlus 205PC	205.00	15.57	24.70	8.44	5/2013
Conergy	PowerPlus 210PC	210.00	15.95	24.98	8.55	5/2013
Conergy	PowerPlus 190PCL	190.00	14.14	24.07	7.99	7/2013
Conergy	PowerPlus 195PCL	195.00	14.51	24.44	8.07	7/2013
Conergy	PowerPlus 200PCL	200.00	14.89	24.82	8.15	7/2013
Conergy	PowerPlus 205PCL	205.00	15.26	25.19	8.23	7/2013
Conergy	PowerPlus 210PCL	210.00	15.63	25.57	8.31	7/2013
Conergy	PowerPlus 235PL	235.00	14.23	30.13	7.88	7/2013
Conergy	PowerPlus 240PL	240.00	14.53	30.36	7.98	7/2013
Conergy	PowerPlus 245PL	245.00	14.83	30.59	8.08	7/2013
Conergy	PowerPlus 250PL	250.00	15.13	30.82	8.19	7/2013
Conergy	PowerPlus 255PL	255.00	15.44	31.05	8.29	7/2013
Conergy	PE 245M Noir	245.00	14.98	30.03	8.16	4/2014
Conergy	PE 250M Noir	250.00	15.29	30.31	8.25	4/2014
Conergy	PE 255M Noir	255.00	15.59	30.58	8.34	4/2014
Conergy	PE 260M Noir	260.00	15.90	30.81	8.44	4/2014
Conergy	PE 265M Noir	265.00	16.21	31.11	8.52	4/2014
Conergy	PowerPlus 235P dark blue	235.00	14.37	30.13	7.80	11/2013
Conergy	PowerPlus 240P dark blue	240.00	14.67	30.36	7.91	11/2013
Conergy	PowerPlus 245P dark blue	245.00	14.98	30.59	8.01	11/2013
Conergy	PowerPlus 250P dark blue	250.00	15.28	30.82	8.11	11/2013
Conergy	PowerPlus 255P dark blue	255.00	15.59	31.05	8.21	11/2013
Conergy	PowerPlus 240P	240.00	14.67	29.86	8.04	1/2014
Conergy	PowerPlus 245P	245.00	14.98	30.12	8.13	1/2014
Conergy	PowerPlus 250P	250.00	15.28	30.38	8.23	1/2014
Conergy	PowerPlus 255P	255.00	15.59	30.64	8.32	1/2014
Conergy	PowerPlus 260P	260.00	15.89	30.90	8.41	1/2014
Conergy	PX 245 P	245.00	14.97	30.10	8.14	10/2014
Conergy	PX 250 P	250.00	15.27	30.50	8.20	10/2014
Conergy	PX 255 P	255.00	15.58	30.80	8.28	3/2014
Conergy	PX 260 P	260.00	15.88	31.10	8.37	3/2014
Conergy	PE 265M-R	265.00	16.21	30.78	8.61	5/2014
Conergy	PE 270M-R	270.00	16.51	31.08	8.69	5/2014
Conergy	PE 275M-R	275.00	16.82	31.36	8.77	5/2014
Conergy	PE 280M-R	280.00	17.12	31.64	8.85	5/2014
Conergy	PE 275M-L-PR	275.00	16.82	31.51	8.72	3/2015
Conergy	PE 280M-L-PR	280.00	17.12	31.68	8.84	3/2015
Conergy	PE 285M-L-PR	285.00	17.43	31.85	8.97	3/2015
Conergy	PE 290M-L-PR	290.00	17.74	32.07	9.11	3/2015
Conergy	PE 295M-L-PR	295.00	18.04	32.29	9.23	3/2015
Conergy	EcoPro 265 P	265.00	16.20	31.16	8.57	10/2015
Conergy	EcoPro 260 P	260.00	15.89	30.90	8.48	10/2015
Conergy	EcoPro 255 P	255.00	15.59	30.64	8.39	10/2015
Conergy	EcoPro 250 P	250.00	15.28	30.38	8.29	10/2015
Conergy	EcoPro 245 P	245.00	14.98	30.12	8.20	10/2015
Conergy	PX 265 P	265.00	16.19	31.40	8.44	3/2014
Conergy	PE 245 P	245.00	14.98	29.59	8.28	6/2015
Conergy	PE 250 P	250.00	15.29	29.94	8.35	6/2015
Conergy	PE 255 P	255.00	15.59	30.29	8.42	6/2015
Conergy	PE 260 P	260.00	15.90	30.63	8.49	6/2015
Conergy	PE 265 P	265.00	16.21	30.96	8.56	6/2015
Conergy	PE 300 P	300.00	15.48	36.41	8.24	7/2015
Conergy	PE 305 P	305.00	15.73	36.71	8.31	7/2015
Conergy	PE 310 P	310.00	15.99	37.00	8.38	7/2015
Conergy	PE 315 P	315.00	16.25	37.28	8.45	7/2015
Conergy	PE 320 P	320.00	16.51	37.56	8.52	7/2015
Conergy	PH 245 P	245.00	14.92	29.92	8.02	6/2015
Conergy	PH 250 P	250.00	15.22	30.30	8.27	6/2015
Conergy	PH 255 P	255.00	15.53	30.68	8.33	6/2015
Conergy	PH 260 P	260.00	15.83	31.05	8.39	6/2015
Conergy	PH 265 P	265.00	16.14	31.43	8.46	6/2015
Conergy	PowerPlus 245P	245.00	14.98	30.12	8.20	10/2015
Conergy	PowerPlus 250P	250.00	15.28	30.38	8.29	10/2015
Conergy	PowerPlus 255P	255.00	15.59	30.64	8.39	10/2015
Conergy	PowerPlus 260P	260.00	15.89	30.90	8.48	10/2015
Conergy	PowerPlus 265P	265.00	16.20	31.16	8.57	10/2015
Conergy CA	ON 220P-60	220.00	13.27	29.80	7.40	5/2011
Conergy CA	ON 225P-60	225.00	13.58	29.90	7.53	5/2011
Conergy CA	ON 230P-60	230.00	13.88	30.00	7.67	5/2011
Conergy CA	ON 235P-60	235.00	14.18	30.10	7.81	5/2011
Conergy CA	ON 240P-60	240.00	14.48	30.20	7.95	5/2011
Conergy CA	P 180M	180.00	14.10	36.00	5.00	7/2010
Conergy CA	P 185M	185.00	14.49	36.10	5.12	7/2010
Conergy CA	Black 225PA	225.00	13.62	29.90	7.53	7/2010
Conergy CA	Black 230PA	230.00	13.92	30.00	7.67	7/2010
Conergy CA	P 235PA	235.00	14.23	30.10	7.81	7/2010
Conergy CA	PM 225P	225.00	13.49	28.91	7.91	1/2012
Conergy CA	PM 230P	230.00	13.79	29.23	7.94	1/2012
Conergy CA	PM 235P	235.00	14.09	29.44	8.02	1/2012
Conergy CA	PM 240P	240.00	14.39	29.65	8.10	1/2012
Conergy CA	PM 245P	245.00	14.69	29.87	8.18	1/2012
Conergy CA	PH 225P 2BB	225.00	13.70	28.40	7.92	6/2011
Conergy CA	PH 230P 2BB	230.00	14.01	28.78	7.99	6/2011
Conergy CA	PH 235P 2BB	235.00	14.31	29.16	8.06	6/2011
Conergy CA	PH 240P 2BB	240.00	14.62	29.54	8.13	6/2011
Conergy CA	PH 225P 3BB	225.00	13.70	28.40	7.92	6/2011
Conergy CA	PH 230P 3BB	230.00	14.01	28.78	7.99	6/2011
Conergy CA	PH 235P 3BB	235.00	14.31	29.16	8.06	6/2011
Conergy CA	PH 240P 3BB	240.00	14.62	29.54	8.13	6/2011
Conergy CA	ON 230P-60	230.00	13.88	30.00	7.67	1/2012
Conergy CA	ON 235P-60	235.00	14.18	30.10	7.81	1/2012
Conergy CA	ON 240P-60	240.00	14.48	30.20	7.95	1/2012
Conergy CA	ON 245P-60	245.00	14.78	30.30	8.08	1/2012
Conergy CA	ON 250P-60	250.00	15.08	30.40	8.22	1/2012
Conergy CA	ON 255P-60	255.00	15.39	30.50	8.35	1/2012
Conergy CA	PM 225P	225.00	13.49	28.91	7.91	4/2012
Conergy CA	PM 230P	230.00	13.79	29.23	7.94	4/2012
Conergy CA	PM 235P	235.00	14.09	29.44	8.02	4/2012
Conergy CA	PM 240P	240.00	14.39	29.65	8.10	4/2012
Conergy CA	PM 245P	245.00	14.69	29.87	8.18	4/2012
Conergy CA	PH 225P 3BB	225.00	13.70	28.40	7.92	5/2012
Conergy CA	PH 230P 3BB	230.00	14.01	28.80	7.99	5/2012
Conergy CA	PH 235P 3BB	235.00	14.31	29.20	8.06	5/2012
Conergy CA	PH 240P 3BB	240.00	14.62	29.50	8.13	5/2012
Conergy CA	PH 245P 3BB	245.00	14.92	29.92	8.20	5/2012
Conergy CA	PH 250P 3BB	250.00	15.22	30.30	8.27	5/2012
Conergy CA	PH 230M black	230.00	14.01	29.03	7.93	5/2012
Conergy CA	PH 235M black	235.00	14.31	29.39	8.01	5/2012
Conergy CA	PH 240M black	240.00	14.62	29.75	8.08	5/2012
Conergy CA	PH 245M black	245.00	14.92	30.12	8.16	5/2012
Conergy CA	PH 250M black	250.00	15.22	30.48	8.23	5/2012
Conergy CA	PH 255M black	255.00	15.53	30.84	8.31	5/2012
Conergy CA	PE 240P	240.00	14.68	29.38	8.17	7/2013
Conergy CA	PE 245P	245.00	14.98	29.63	8.27	7/2013
Conergy CA	PE 250P	250.00	15.29	29.98	8.34	7/2013
Conergy CA	PE 255P	255.00	15.59	30.36	8.40	7/2013
Conergy CA	PE 260P	260.00	15.90	30.77	8.45	7/2013
Conergy CA	PE 290P	290.00	14.96	36.39	7.97	7/2013
Conergy CA	PE 295P	295.00	15.22	36.60	8.06	7/2013
Conergy CA	PE 300P	300.00	15.48	36.82	8.15	7/2013
Conergy CA	PE 305P	305.00	15.73	36.97	8.25	7/2013
Conergy CA	PE 310P	310.00	15.99	37.04	8.37	7/2013
Conergy CA	PH 230P	230.00	14.01	28.78	7.99	7/2013
Conergy CA	PH 235P	235.00	14.31	29.16	8.06	7/2013
Conergy CA	PH 240P	240.00	14.62	29.54	8.13	7/2013
Conergy CA	PH 245P	245.00	14.92	29.92	8.20	7/2013
Conergy CA	PH 250P	250.00	15.22	30.30	8.27	7/2013
Conergy CA	PH 255P	255.00	15.53	30.68	8.33	7/2013
Conergy CA	PH 260P	260.00	15.83	31.05	8.39	7/2013
Conergy CA	PH 290P	290.00	14.92	35.68	8.15	7/2013
Conergy CA	PH 295P	295.00	15.17	35.72	8.30	7/2013
Conergy CA	PH 300P	300.00	15.43	35.74	8.40	7/2013
Conergy CA	PH 305P	305.00	15.69	35.77	8.53	7/2013
Conergy CA	PH 310P	310.00	15.94	35.80	8.68	7/2013
Conergy CA	PH 245M black	245.00	14.92	30.12	8.16	7/2013
Conergy CA	PH 250M black	250.00	15.22	30.48	8.23	7/2013
Conergy CA	PH 255M black	255.00	15.53	30.84	8.31	7/2013
Conergy CA	PE 245P	245.00	14.98	29.59	8.28	6/2014
Conergy CA	PE 250P	250.00	15.29	29.94	8.35	6/2014
Conergy CA	PE 255P	255.00	15.59	30.29	8.42	6/2014
Conergy CA	PE 260P	260.00	15.90	30.63	8.49	6/2014
Conergy CA	PE 265P	265.00	16.21	30.96	8.56	6/2014
Conergy CA	PE 295P	295.00	15.22	36.25	8.14	6/2014
Conergy CA	PE 300P	300.00	15.48	36.41	8.24	6/2014
Conergy CA	PE 305P	305.00	15.73	36.71	8.31	6/2014
Conergy CA	PE 310P	310.00	15.99	37.00	8.38	6/2014
Conergy CA	PE 315P	315.00	16.25	37.28	8.45	6/2014
Conergy CA	PH 245P	245.00	14.92	29.92	8.20	6/2014
Conergy CA	PH 250P	250.00	15.22	30.30	8.27	6/2014
Conergy CA	PH 255P	255.00	15.53	30.68	8.33	6/2014
Conergy CA	PH 260P	260.00	15.83	31.05	8.39	6/2014
Conergy CA	PH 290P	290.00	14.92	35.68	8.15	5/2014
Conergy CA	PH 295P	295.00	15.17	35.72	8.30	5/2014
Conergy CA	PH 300P	300.00	15.43	35.74	8.40	5/2014
